title,Year,cast1,cast2, cast3, crew1, crew2, crew3, genre, NotListed, Crime, Romance, Animation, Music, Comedy, TVMovie, Horror, War, Adventure, Thriller, Western, Mystery, Kids, ScienceFiction, Foreign, Drama, Action, Documentary, History, Family, Fantasy,,
Dil Ne Jise Apna Kahaa,2004, Salman Khan, Preity Zinta, Bhumika Chawla, Atul Agnihotri, Atul Agnihotri, , Drama-Foreign-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
I'll Never Forget What's'isname,1967, Orson Welles, Oliver Reed, Carol White, Michael Winner, Peter Draper, , Comedy-Drama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Flat Top,1952, Sterling Hayden, Richard Carlson, William Phipps, Lesley Selander, Steve Fisher, , Action-Drama-War,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Tsar to Lenin,1937, Max Eastman, Vladimir Ilyich Lenin, Leon Trotsky, Herman Axelbank, Herman Axelbank, Max Eastman,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
The Emperor's Club,2002, Kevin Kline, Emile Hirsch, Embeth Davidtz, Michael Hoffman, Ethan Canin, Neil Tolkin, Drama-Romance,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Rocky,1976, Sylvester Stallone, Talia Shire, Burt Young, John G. Avildsen, Sylvester Stallone, Robert Chartoff, Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
3 Rivers Progressive Rock Festival,2008, , , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Stagecoach,1986, Willie Nelson, Waylon Jennings, Johnny Cash, Ted Post, , , Action-Western,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
The Leopard's Spots,1925, , , , Walter Lantz, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Murder by Contract,1958, Vince Edwards, Phillip Pine, Herschel Bernardi, Leon Chooluck, Irving Lerner, Ben Simcoe, Action-Crime-Drama-Thriller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,,
Is Spiritualism a Fraud?,1906, , , , J.H. Martin, , , Comedy-Horror,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiamat: The Church Of Tiamat,2006, Johan Edlund, , , , , , Music,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Redemption Impossible,2013, , , , Claus Strigel, Claus Strigel, ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Wieners,2008, Kenan Thompson, Fran Kranz, Zachary Levi, Mark Steilen, Suzanne Francis, Gabe Grifoni, Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tiger From River Kwai,1975, George Eastman, Gordon Mitchell, Krung Srivilai, Franco Lattanzi, , ,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
